Date,Region,thermal_actual,thermal_est,nuclear_actual,nuclear_est,hydro_actual,hydro_est
2017-10-17,NorthEastern,29.16,34.05,nan,nan,17.17,20.2
2017-10-18,Northern,629.21,670.18,25.8,36.43,157.46,156.53
2017-10-18,Western,1155.3,1189.18,25.13,16.86,57.11,15.19
2017-10-18,Southern,589.87,510.02,47.73,52.29,92.06,85.72
2017-10-18,Eastern,486.88,432.78,nan,nan,63.36,59.9
2017-10-18,NorthEastern,29.16,33.71,nan,nan,17.17,20.02
2017-10-19,Northern,639.52,628.37,25.8,36.34,157.46,157.32
2017-10-19,Western,1153.02,1121.42,25.13,16.85,57.11,14.78
2017-10-19,Southern,594.32,464.41,47.73,41.63,92.06,85.16
2017-10-19,Eastern,486.88,421.01,nan,nan,63.36,54.78
2017-10-19,NorthEastern,29.16,31.1,nan,nan,17.17,17.45
2017-10-20,Northern,628.36,588.78,25.8,36.12,157.46,154.62
2017-10-20,Western,1128.44,1055.67,25.13,16.85,57.11,11.26
2017-10-20,Southern,594.32,483.91,47.73,43.79,92.06,90.58
2017-10-20,Eastern,484.8,405.91,nan,nan,63.36,55.7
2017-10-20,NorthEastern,29.16,28.76,nan,nan,17.17,16.83
2017-10-21,Northern,628.36,580.35,25.8,36.26,157.46,152.29
2017-10-21,Western,1128.44,1056.42,25.13,16.87,57.11,15.28
2017-10-21,Southern,594.32,525.17,47.73,44.67,92.06,77.77
2017-10-21,Eastern,473.75,396.47,nan,nan,63.36,53.33
2017-10-21,NorthEastern,29.16,27.34,nan,nan,17.17,17.32
2017-10-22,Northern,628.36,593.12,25.8,36.44,157.46,151.8
2017-10-22,Western,1128.44,1049.49,25.13,16.85,57.11,12.52
2017-10-22,Southern,594.32,512.06,47.73,46.27,92.06,61.65
2017-10-22,Eastern,469.18,412.41,nan,nan,63.36,54.17
2017-10-22,NorthEastern,29.16,26.81,nan,nan,17.17,22.23
2017-10-23,Northern,628.36,618.21,25.8,36.49,157.46,149.28
2017-10-23,Western,1128.44,1131.33,25.13,16.85,57.11,17.87
2017-10-23,Southern,603.99,555.74,47.73,49.1,92.06,85.78
2017-10-23,Eastern,467.82,431.59,nan,nan,63.36,53.03
2017-10-23,NorthEastern,29.16,28.16,nan,nan,17.17,23.78
2017-10-24,Northern,625.88,643.17,25.8,36.56,157.46,141.92
2017-10-24,Western,1128.44,1181.98,25.13,16.91,57.11,17.72
2017-10-24,Southern,603.99,608.18,47.73,51.06,92.06,72.52
2017-10-24,Eastern,467.82,440.35,nan,nan,63.36,64.65
2017-10-24,NorthEastern,29.16,29.52,nan,nan,17.17,23.06
2017-10-25,Northern,625.88,639.06,25.8,36.58,157.46,139.43
2017-10-25,Western,1127.02,1198.23,25.13,16.77,57.11,22.42
2017-10-25,Southern,615.28,607.05,47.73,52.72,92.06,89.02
2017-10-25,Eastern,467.82,438.69,nan,nan,63.36,58.72
2017-10-25,NorthEastern,29.16,28.7,nan,nan,17.17,22.27
2017-10-26,Northern,625.88,619.47,25.8,36.55,157.46,138.04
2017-10-26,Western,1127.02,1196.07,25.13,16.89,57.11,20.57
2017-10-26,Southern,615.28,599.14,47.73,52.81,92.06,86.3
2017-10-26,Eastern,467.82,439.32,nan,nan,63.36,54.62
2017-10-26,NorthEastern,29.16,28.93,nan,nan,17.17,20.61
2017-10-27,Northern,625.88,623.01,25.8,36.65,157.46,138.15
2017-10-27,Western,1127.02,1204.84,25.13,16.85,57.11,22.28
2017-10-27,Southern,615.28,610.91,47.73,53.12,92.06,77.1
